Models,RMSE,R2
LR,0.6460806424811998,0.769918855448113
Lasso,0.6472043341777091,0.7691178250908691
Ridge,0.6487629034756984,0.7680044853531142
EN,0.6477062931835007,0.7687595508236231
KNN,0.44688968261488365,0.8899200490924424
DT,0.5756174594179216,0.8173685835153315
SV,0.7512194001723674,0.6889421535695119
